species,family,order,class,phylum,kingdom,decimalLatitude,decimalLongitude,cubanendemic
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,22.615784,-83.709034,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.908683,-80.023764,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,19.98904,-76.839121,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,19.991053,-75.503045,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.085009,-76.185117,n
Micrathyria_didyma,Libellulidae,Odonata,Insecta,Arthropoda,Animalia,22.114007,-81.115017,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.0126,-75.65796,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.209042,-76.001169,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.31221,-75.59331,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.093389,-75.762333,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.072107,-76.127846,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.05292,-76.20447,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.074027,-76.110674,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.054694,-76.145062,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.07296,-74.67298,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.06071,-74.7379,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.439444,-74.708611,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.54188,-74.7261,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.50372,-74.64988,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.28228,-74.42923,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.27644,-74.41791,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.28246,-74.40428,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.31342,-74.47675,n
Laccophilus_venustus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.32299,-74.4856,n
Copelatus_caelatipennis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.55709,-76.4727,n
Copelatus_caelatipennis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18571,-75.65284,n
Copelatus_caelatipennis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18529,-75.78635,n
Copelatus_caelatipennis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.376279,-76.041637,n
Copelatus_caelatipennis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.566,-82.552,n
Copelatus_caelatipennis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.60646,-82.63142,n
Copelatus_caelatipennis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.32299,-74.4856,n
Copelatus_caelatipennis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30899,-74.48225,n
Copelatus_caelatipennis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.31342,-74.47675,n
Copelatus_caelatipennis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.27644,-74.41791,n
Copelatus_cubaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.883,-82.82,n
Copelatus_cubaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.749827,-77.277611,n
Copelatus_cubaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.826,-77.538,n
Copelatus_cubaensis,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18529,-75.78635,n
Copelatus_insolitus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.05292,-76.20447,n
Copelatus_insolitus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.054694,-76.145062,n
Copelatus_insolitus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.109108,-76.143789,n
Copelatus_insolitus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.13833,-75.59783,n
Copelatus_insolitus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.013014,-76.890591,n
Copelatus_insolitus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.010437,-75.622717,n
Copelatus_insolitus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.0126,-75.65796,n
Copelatus_insolitus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,19.985127,-76.764836,n
Copelatus_insolitus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.02225,-76.05582,n
Copelatus_insolitus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.439444,-74.708611,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.883,-82.82,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.566,-82.552,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.60646,-82.63142,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.912596,-84.631637,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,22.615784,-83.709034,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.6538,-75.46407,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.31221,-75.59331,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.109108,-76.143789,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.056674,-76.194016,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.054694,-76.145062,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.093389,-75.762333,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18531,-75.64297,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18563,-75.49225,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18571,-75.65284,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18529,-75.78635,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,19.947585,-76.75725,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.02332,-75.87228,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.54188,-74.7261,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.54188,-74.7261,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.27884,-74.47087,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.32299,-74.4856,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30899,-74.48225,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30189,-74.47741,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.28246,-74.40428,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.31342,-74.47675,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.27644,-74.41791,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.50372,-74.64988,n
Copelatus_posticatus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.51308,-74.68185,n
Anodocheilus_exiguus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.566,-82.552,n
Anodocheilus_exiguus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.82898,-84.86757,n
Anodocheilus_exiguus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.99643,-76.92582,n
Anodocheilus_exiguus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.99032,-76.92481,n
Anodocheilus_exiguus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.13833,-75.59783,n
Anodocheilus_exiguus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.54188,-74.7261,n
Anodocheilus_exiguus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.50372,-74.64988,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.566,-82.552,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.60646,-82.63142,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.82898,-84.86757,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.856272,-77.56647,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.821779,-77.55913,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.819307,-77.527018,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.826,-77.538,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.99032,-76.92481,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.99643,-76.92582,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.55709,-76.4727,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.61984,-76.60019,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,19.94284,-76.86342,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,19.932854,-75.660271,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.19213,-76.05855,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.13833,-75.59783,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18531,-75.64297,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18571,-75.65284,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.14345,-76.26846,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30189,-74.47741,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.27644,-74.41791,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.50372,-74.64988,n
Bidessonotus_browneanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.51308,-74.68185,n
Bidessonotus_fallax,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.60646,-82.63142,y
Celina_imitatrix,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.073558,-75.814338,n
Celina_imitatrix,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18571,-75.65284,n
Celina_imitatrix,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.31342,-74.47675,n
Celina_palustris,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.074027,-76.110674,n
Celina_slossoni,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.826,-77.538,n
Celina_slossoni,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.073558,-75.814338,n
Celina_slossoni,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18571,-75.65284,n
Celina_slossoni,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.13614,-75.20264,n
Celina_slossoni,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.31342,-74.47675,n
Celina_slossoni,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.27644,-74.41791,n
Celina_slossoni,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30899,-74.48225,n
Derovatellus_floridanus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.60646,-82.63142,n
Desmopachria_tarda,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,21.921294,-80.00335,y
Desmopachria_tarda,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,19.98904,-76.839121,y
Desmopachria_tarda,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.056674,-76.194016,y
Desmopachria_tarda,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.0126,-75.65796,y
Desmopachria_tarda,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.010437,-75.622717,y
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.826,-77.538,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.99643,-76.92582,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.55709,-76.4727,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.073558,-75.814338,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.18571,-75.65284,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,19.94284,-76.86342,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.054694,-76.145062,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30189,-74.47741,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.374886,-74.525793,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.50372,-74.64988,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.51308,-74.68185,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.27644,-74.41791,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.32299,-74.4856,n
Hydrovatus_caraibus,Dytiscidae ,Coleoptera,Insecta,Arthropoda,Animalia,20.30899,-74.48225,n
